ticker,calendar_quarter,capex,diluted_shares,eps_diluted,gross_profit,net_income,operating_income,revenue,gross_margin,operating_margin,net_margin,eps_diluted_calc
INTC,2011Q1,,5606000000.0,0.56,7885000000.0,3160000000.0,4158000000.0,12847000000.0,0.6137619677745777,0.3236553280921616,0.24597182221530317,0.5636817695326436
INTC,2011Q2,,5441000000.0,0.54,7902000000.0,2954000000.0,3935000000.0,13032000000.0,0.606353591160221,0.30194904849600984,0.22667280540208717,0.5429149053482816
INTC,2011Q3,,5340000000.0,0.65,9018000000.0,3468000000.0,4785000000.0,14233000000.0,0.6335979765334083,0.33619054310405394,0.2436591020866999,0.6494382022471911
INTC,2011Q4,,,,8952000000.0,3360000000.0,4599000000.0,13887000000.0,0.6446316699071074,0.3311730395333765,0.24195290559516094,
INTC,2012Q1,,5192000000.0,0.53,8265000000.0,2738000000.0,3810000000.0,12906000000.0,0.6403998140399814,0.2952115295211529,0.21214938788160545,0.5273497688751926
INTC,2012Q2,,5199000000.0,0.54,8554000000.0,2827000000.0,3832000000.0,13501000000.0,0.6335826975779572,0.2838308273461225,0.20939189689652618,0.543758415079823
INTC,2012Q3,,5153000000.0,0.58,8515000000.0,2972000000.0,3841000000.0,13457000000.0,0.6327561863714052,0.28542765846771195,0.22085160139704244,0.5767514069474092
INTC,2012Q4,,,,7817000000.0,2468000000.0,3155000000.0,13477000000.0,0.5800252281665059,0.2341025450767975,0.183126808636937,
INTC,2013Q1,,5080000000.0,0.4,7066000000.0,2045000000.0,2519000000.0,12580000000.0,0.5616852146263911,0.20023847376788553,0.1625596184419714,0.40255905511811024
INTC,2013Q2,,5106000000.0,0.39,7470000000.0,2000000000.0,2719000000.0,12811000000.0,0.5830926547498244,0.212239481695418,0.1561158379517602,0.39169604386995693
INTC,2013Q3,,5100000000.0,0.58,8414000000.0,2950000000.0,3504000000.0,13483000000.0,0.6240450938218497,0.2598828153971668,0.21879403693540014,0.5784313725490197
INTC,2013Q4,,,,8571000000.0,2625000000.0,3549000000.0,13834000000.0,0.6195605031082839,0.2565418534046552,0.18974989157149053,
INTC,2014Q1,,5117000000.0,0.38,7613000000.0,1930000000.0,2510000000.0,12764000000.0,0.596443121278596,0.19664681917894078,0.15120651833281104,0.37717412546413914
INTC,2014Q2,,5123000000.0,0.55,8917000000.0,2796000000.0,3844000000.0,13831000000.0,0.6447111560986191,0.2779263972236281,0.20215458029065145,0.5457739605699785
INTC,2014Q3,,5045000000.0,0.66,9458000000.0,3317000000.0,4540000000.0,14554000000.0,0.6498557097705098,0.3119417342311392,0.2279098529613852,0.6574826560951437
INTC,2014Q4,,,,9621000000.0,3661000000.0,4453000000.0,14721000000.0,0.6535561442836764,0.3024930371578018,0.24869234427009035,
INTC,2015Q1,,4914000000.0,0.41,7730000000.0,1992000000.0,2615000000.0,12781000000.0,0.6048040059463266,0.20460057898443001,0.15585634926844535,0.4053724053724054
INTC,2015Q2,,4909000000.0,0.55,8248000000.0,2706000000.0,2896000000.0,13195000000.0,0.6250852595680182,0.21947707464948843,0.2050776809397499,0.5512324302301894
INTC,2015Q3,,4876000000.0,0.64,9111000000.0,3109000000.0,4192000000.0,14465000000.0,0.6298651918423781,0.28980297269270655,0.21493259592118907,0.6376127973748975
INTC,2015Q4,,,,9590000000.0,3613000000.0,4299000000.0,14914000000.0,0.6430199812256939,0.28825264851817084,0.24225559876625988,
INTC,2016Q1,,4875000000.0,0.42,8130000000.0,2046000000.0,2568000000.0,13702000000.0,0.5933440373668077,0.18741789519778135,0.1493212669683258,0.4196923076923077
INTC,2016Q2,,4866000000.0,0.27,7973000000.0,1330000000.0,1318000000.0,13533000000.0,0.5891524421783788,0.09739156136850662,0.09827828271632306,0.27332511302918205
INTC,2016Q3,,4877000000.0,0.69,9983000000.0,3378000000.0,4462000000.0,15778000000.0,0.6327164406135125,0.282798833819242,0.2140955761186462,0.6926389173672339
INTC,2016Q4,,,,10105000000.0,3562000000.0,4526000000.0,16374000000.0,0.6171369243923293,0.2764138267985831,0.21754000244289728,
INTC,2017Q1,,4881000000.0,0.61,9147000000.0,2964000000.0,3599000000.0,14796000000.0,0.6182076236820763,0.24324141659908083,0.2003244120032441,0.6072526121696373
INTC,2017Q2,,4845000000.0,0.58,9098000000.0,2808000000.0,3827000000.0,14763000000.0,0.61627040574409,0.25922915396599605,0.19020524283682178,0.5795665634674922
INTC,2017Q3,,4821000000.0,0.94,10057000000.0,4516000000.0,5115000000.0,16149000000.0,0.6227630193820051,0.31673787850640905,0.2796457985014552,0.9367351171956025
INTC,2017Q4,,,,10767000000.0,-687000000.0,5395000000.0,17053000000.0,0.6313845071248461,0.31636662170879026,-0.04028616665689322,
INTC,2018Q1,,4790000000.0,0.93,9731000000.0,4454000000.0,4470000000.0,16066000000.0,0.6056890327399477,0.27822731233661147,0.2772314203908876,0.9298538622129436
INTC,2018Q2,,4747000000.0,1.05,10419000000.0,5006000000.0,5273000000.0,16962000000.0,0.6142553944110364,0.3108713595094918,0.29513029123924067,1.0545607752264587
INTC,2018Q3,,4648000000.0,1.38,12360000000.0,6398000000.0,7349000000.0,19163000000.0,0.6449929551740333,0.3834994520690915,0.33387256692584666,1.3765060240963856
INTC,2018Q4,,,,11227000000.0,5195000000.0,6224000000.0,18657000000.0,0.6017580532775901,0.33360132925979524,0.2784477675939326,
INTC,2019Q1,,4564000000.0,0.87,9089000000.0,3974000000.0,4174000000.0,16061000000.0,0.5659049872361621,0.25988419151983067,0.2474316667704377,0.8707274320771253
INTC,2019Q2,,4523000000.0,0.92,9878000000.0,4179000000.0,4617000000.0,16505000000.0,0.598485307482581,0.27973341411693425,0.253196001211754,0.9239442847667477
INTC,2019Q3,,4433000000.0,1.35,11295000000.0,5990000000.0,6447000000.0,19190000000.0,0.5885878061490359,0.3359562272016675,0.31214174048983845,1.3512294157455447
INTC,2019Q4,,,,11878000000.0,6905000000.0,6797000000.0,20209000000.0,0.587757929635311,0.3363352961551784,0.34167944975011133,
INTC,2020Q1,,4312000000.0,1.31,12016000000.0,5661000000.0,7038000000.0,19828000000.0,0.6060117006253782,0.35495259229372605,0.28550534597538835,1.312847866419295
INTC,2020Q2,,4284000000.0,1.19,10507000000.0,5105000000.0,5697000000.0,19728000000.0,0.5325932684509327,0.2887773722627737,0.2587692619626926,1.1916433239962652
INTC,2020Q3,,4211000000.0,1.02,9741000000.0,4276000000.0,5059000000.0,18333000000.0,0.5313369333987891,0.27595047182676047,0.233240604374625,1.015435763476609
INTC,2020Q4,,,,11348000000.0,5857000000.0,5884000000.0,19978000000.0,0.568024827310041,0.2945239763740114,0.29317248973871257,
INTC,2021Q1,,4096000000.0,0.82,10854000000.0,3361000000.0,3694000000.0,19673000000.0,0.5517206323387384,0.18777004015655976,0.17084328775479082,0.820556640625
INTC,2021Q2,,4084000000.0,1.24,11206000000.0,5061000000.0,5546000000.0,19631000000.0,0.5708318475879985,0.28251235291121185,0.25780653048749425,1.2392262487757102
INTC,2021Q3,,4086000000.0,1.67,10746000000.0,6823000000.0,5227000000.0,19192000000.0,0.5599208003334722,0.2723530637765736,0.35551271363067943,1.6698482623592756
INTC,2021Q4,,,,11009000000.0,4623000000.0,4989000000.0,20528000000.0,0.5362918939984411,0.24303390491036633,0.2252045985970382,
INTC,2022Q1,,4107000000.0,1.98,9244000000.0,8113000000.0,4341000000.0,18353000000.0,0.5036778728273307,0.23652808805099984,0.4420530703427233,1.975407840272705
INTC,2022Q2,,4100000000.0,-0.11,5587000000.0,-454000000.0,-700000000.0,15321000000.0,0.3646628810129887,-0.045688923699497425,-0.02963253051367404,-0.11073170731707317
INTC,2022Q3,,4125000000.0,0.25,6535000000.0,1019000000.0,-175000000.0,15338000000.0,0.426065979919155,-0.011409571000130394,0.06643630199504498,0.24703030303030302
INTC,2022Q4,,,,5500000000.0,-664000000.0,-1132000000.0,14042000000.0,0.3916820965674405,-0.08061529696624413,-0.04728671129468737,
INTC,2023Q1,,4154000000.0,-0.66,4008000000.0,-2758000000.0,-1468000000.0,11715000000.0,0.3421254801536492,-0.12530943235168587,-0.23542466922748612,-0.6639383726528647
INTC,2023Q2,,4196000000.0,0.35,4638000000.0,1481000000.0,-1016000000.0,12949000000.0,0.358174376399722,-0.07846165727083172,0.114371766159549,0.35295519542421355
INTC,2023Q3,,4229000000.0,0.07,6018000000.0,297000000.0,-8000000.0,14158000000.0,0.42506003672835146,-0.0005650515609549371,0.02097753920045204,0.07022936864506976
INTC,2023Q4,,,,7047000000.0,2669000000.0,2585000000.0,15406000000.0,0.45741918732961184,0.16779176944047774,0.1732441905751006,
INTC,2024Q1,,4242000000.0,-0.09,5217000000.0,-381000000.0,-1069000000.0,12724000000.0,0.410012574662056,-0.08401446086136435,-0.029943414020748193,-0.08981612446958982
INTC,2024Q2,,4267000000.0,-0.38,4547000000.0,-1610000000.0,-1964000000.0,12833000000.0,0.354320891451726,-0.15304293618016052,-0.12545780409880777,-0.37731427232247483
INTC,2024Q3,,4292000000.0,-3.88,1997000000.0,-16639000000.0,-9057000000.0,13284000000.0,0.15033122553447756,-0.6817976513098465,-1.252559470039145,-3.8767474370922645
INTC,2024Q4,,,,5584000000.0,-126000000.0,412000000.0,14260000000.0,0.3915848527349229,0.028892005610098175,-0.008835904628330995,
INTC,2025Q1,,4343000000.0,-0.19,4672000000.0,-821000000.0,-301000000.0,12667000000.0,0.36883239914739085,-0.023762532564932503,-0.06481408383989895,-0.18903983421597972
INTC,2025Q2,,4369000000.0,-0.67,3542000000.0,-2918000000.0,-3176000000.0,12859000000.0,0.2754491017964072,-0.246986546387744,-0.22692277782098141,-0.6678873884184023
INTC,2025Q3,,4531000000.0,0.9,5218000000.0,4063000000.0,683000000.0,13653000000.0,0.3821870651138944,0.05002563539148905,0.2975902732000293,0.8967115427058044
INTC,2025Q4,,,,4943000000.0,-591000000.0,580000000.0,13674000000.0,0.3614889571449466,0.04241626444346936,-0.04322071083808688,
META,2010Q3,293000000.0,,,,,,,,,,
META,2011Q2,285000000.0,,,,,,,,,,
META,2011Q3,136000000.0,,,,,,,,,,
META,2011Q4,185000000.0,,,,,,,,,,
META,2012Q1,453000000.0,,,,,,,,,,
META,2012Q2,413000000.0,,,,,,,,,,
META,2012Q3,171000000.0,,,,,,,,,,
META,2012Q4,198000000.0,,,,,,,,,,
META,2013Q1,327000000.0,,,,,,,,,,
META,2013Q2,268000000.0,,,,,,,,,,
META,2013Q3,284000000.0,,,,,,,,,,
META,2013Q4,483000000.0,,,,,,,,,,
META,2014Q1,363000000.0,,,,,,,,,,
META,2014Q2,469000000.0,,,,,,,,,,
META,2014Q3,482000000.0,,,,,,,,,,
META,2014Q4,517000000.0,,,,,,,,,,
META,2015Q1,502000000.0,,,,,,,,,,
META,2015Q2,549000000.0,,,,,,,,,,
META,2015Q3,780000000.0,,,,,,,,,,
META,2015Q4,692000000.0,,,,,,,,,,
META,2016Q1,1132000000.0,,,,,,,,,,
META,2016Q2,995000000.0,,,,,,,,,,
META,2016Q3,1095000000.0,,,,,,,,,,
META,2016Q4,1269000000.0,,,,,,,,,,
META,2017Q1,1271000000.0,,,,,,,,,,
META,2017Q2,1444000000.0,,,,,,,,,,
META,2017Q3,1755000000.0,,,,,,,,,,
META,2017Q4,2263000000.0,,,,,,,,,,
META,2018Q1,2812000000.0,,,,,,,,,,
META,2018Q2,3460000000.0,,,,,,,,,,
META,2018Q3,3342000000.0,,,,,,,,,,
META,2018Q4,4301000000.0,,,,,,,,,,
META,2019Q1,3837000000.0,,,,,,,,,,
META,2019Q2,3633000000.0,,,,,,,,,,
META,2019Q3,3532000000.0,,,,,,,,,,
META,2019Q4,4100000000.0,,,,,,,,,,
META,2020Q1,3558000000.0,,,,,,,,,,
META,2020Q2,3255000000.0,,,,,,,,,,
META,2020Q3,3689000000.0,,,,,,,,,,
META,2020Q4,4613000000.0,,,,,,,,,,
META,2021Q1,4272000000.0,,,,,,,,,,
META,2021Q2,4612000000.0,,,,,,,,,,
META,2021Q3,4314000000.0,,,,,,,,,,
META,2021Q4,5369000000.0,,,,,,,,,,
META,2022Q1,5441000000.0,,,,,,,,,,
META,2022Q2,7572000000.0,,,,,,,,,,
META,2022Q3,9375000000.0,,,,,,,,,,
META,2022Q4,9043000000.0,,,,,,,,,,
META,2023Q1,6842000000.0,,,,,,,,,,
META,2023Q2,6216000000.0,,,,,,,,,,
META,2023Q3,6543000000.0,,,,,,,,,,
META,2023Q4,7665000000.0,,,,,,,,,,
META,2024Q1,6400000000.0,,,,,,,,,,
META,2024Q2,8173000000.0,,,,,,,,,,
META,2024Q3,8258000000.0,,,,,,,,,,
META,2024Q4,14425000000.0,,,,,,,,,,
META,2025Q1,12941000000.0,,,,,,,,,,
META,2025Q2,16538000000.0,,,,,,,,,,
META,2025Q3,18829000000.0,,,,,,,,,,
META,2025Q4,21383000000.0,,,,,,,,,,
MSFT,2010Q1,408000000.0,,,,,,,,,,
MSFT,2010Q2,758000000.0,,,,,,,,,,
